,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month, funded_quarter ,funded_year, raised_amount_usd ,Unnamed: 16
12394,/organization/captalis-com,Captalis,|Financial Services|Price Comparison|Lead Generation|,Lead Generation,BRA,,Sao Paulo,São Paulo,/funding-round/b7db572210b1c5da4c4e2ef4e37a7176,seed,,2009-12-01,2009-12, 2009-Q4 ,2009.0," 150,104 ",
10086,/organization/bluesocket,Bluesocket,|Mobile|,Mobile,USA,MA,Boston,Burlington,/funding-round/f9e90cf10e4104552e6cdd4b5616b646,venture,C,2006-02-24,2006-02, 2006-Q1 ,2006.0," 9,000,000 ",
25054,/organization/eyestorm,Eyestorm,|Art|E-Commerce|,E-Commerce,GBR,,London,London,/funding-round/1ef1bad9ec39572350d399b37ea0d924,angel,,2006-01-01,2006-01, 2006-Q1 ,2006.0," 1,720,489 ",
82298,/organization/yext,Yext,|Sales and Marketing|SaaS|Cloud Data Services|Local|Mobile|Advertising|Software|,SaaS,USA,NY,New York City,New York,/funding-round/22030cb5855abd78a0ce275c1522a9c2,venture,A,2008-09-01,2008-09, 2008-Q3 ,2008.0," 3,500,000 ",
5433,/organization/arc-solutions,Arc Solutions,|Software|,Software,USA,NC,Raleigh,Durham,/funding-round/9f4de93400134e403181b0187b0242e7,venture,,2006-10-24,2006-10, 2006-Q4 ,2006.0," 1,000,000 ",
62909,/organization/scratch-hard,Scratch Hard,|Retail|Fashion|Finance|Discounts|Coupons|Sales and Marketing|Shopping|Mobile|,Fashion,USA,NY,New York City,New York,/funding-round/40e475c37f8cf202ad474892b5d40850,angel,,2012-03-01,2012-03, 2012-Q1 ,2012.0," 1,400,000 ",
64172,/organization/shadow-health,Shadow Health,|Health and Wellness|,Health and Wellness,USA,FL,Gainesville,Gainesville,/funding-round/8881b220ea8161e325eb80547f63eb9a,seed,,2014-01-30,2014-01, 2014-Q1 ,2014.0," 200,000 ",
56185,/organization/powerbyproxi,PowerbyProxi,|Mobile|,Mobile,NZL,,Auckland,Auckland,/funding-round/ebfa610f2ce91f90c9501fe8d270811e,venture,C,2013-04-16,2013-04, 2013-Q2 ,2013.0," 5,000,000 ",
25065,/organization/eyeview,Eyeview,|Online Video Advertising|Video|Advertising|,Online Video Advertising,USA,NY,New York City,New York,/funding-round/49320be340e59c9a15cd5a34381f1aa3,venture,A,2010-03-01,2010-03, 2010-Q1 ,2010.0," 6,000,000 ",
78485,/organization/virtify,Virtify,|Enterprise Software|,Enterprise Software,USA,MA,Boston,Cambridge,/funding-round/61c34d525bb09478416b18333e28db8b,debt_financing,,2013-03-27,2013-03, 2013-Q1 ,2013.0," 1,578,087 ",
66063,/organization/slidebean,Slidebean,|SaaS|Mobile|Presentations|Software|,SaaS,USA,CA,SF Bay Area,Mountain View,/funding-round/35e66776d305565d5937ef213b21dc77,seed,,2014-11-01,2014-11, 2014-Q4 ,2014.0," 100,000 ",
48384,/organization/neoconix,Neoconix,|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,San Jose,/funding-round/b5d2425f6280742706bc045f12e78859,venture,,2010-12-16,2010-12, 2010-Q4 ,2010.0," 8,652,984 ",
9775,/organization/blogic,Blogic,|Blogging Platforms|Software|,Software,USA,AZ,Phoenix,Scottsdale,/funding-round/e53f09ce29061be1a550da1913928432,seed,,2011-06-15,2011-06, 2011-Q2 ,2011.0," 20,000 ",
16345,/organization/commonfloor,CommonFloor,|Real Estate|,Real Estate,IND,,Bangalore,Bangalore,/funding-round/a12ed1c351c03594637defd5dc1d58b4,venture,D,2014-01-19,2014-01, 2014-Q1 ,2014.0," 10,400,000 ",
48400,/organization/neofonie,Neofonie,|Consulting|Content|Publishing|Tablets|Mobile|Social Media|Search|Portals|Software|,Search,DEU,,Berlin,Berlin,/funding-round/8c34d3214bd8c00369e810dfb088b579,seed,,1998-01-01,1998-01, 1998-Q1 ,1998.0,,
16705,/organization/conjure,Conjure,|Data Integration|Data Visualization|Developer APIs|,Data Visualization,USA,DC,"Washington, D.C.",Washington,/funding-round/0789a47e5108e238f418ac47b11b374e,seed,,2012-07-20,2012-07, 2012-Q3 ,2012.0,,
39341,/organization/kuboo,KUBOO,|Games|,Games,USA,AZ,Phoenix,Scottsdale,/funding-round/c534dc2bb851afc2f59d83606a57a714,venture,,2013-04-24,2013-04, 2013-Q2 ,2013.0," 2,117,442 ",
80507,/organization/whisper,Whisper,|File Sharing|Technology|Startups|Mobile|Networking|Social Media|,Social Media,USA,CA,Los Angeles,Santa Monica,/funding-round/12f4cd9f8fb4a245d529bb1a2c702295,venture,B,2013-09-04,2013-09, 2013-Q3 ,2013.0," 21,000,000 ",
17273,/organization/corengi,Corengi,|Security|Clinical Trials|Diabetes|Health and Wellness|,Security,USA,WA,Seattle,Seattle,/funding-round/aea283db93612b3ad7ef3875609da936,seed,,2011-12-28,2011-12, 2011-Q4 ,2011.0," 45,000 ",
8708,/organization/big-live,Big Live,|Television|Social Network Media|Video|Video Streaming|Chat|Fashion|Music|Social Media|,Video,USA,CA,SF Bay Area,San Francisco,/funding-round/a6094677836f192c2a73f7c62de9fd22,venture,,2012-05-15,2012-05, 2012-Q2 ,2012.0," 2,267,362 ",
38024,/organization/kapitall,Kapitall,|Investment Management|Finance|,Investment Management,USA,NY,New York City,New York,/funding-round/18694ad0653ceaf24d8ff62636562656,venture,A,2010-09-17,2010-09, 2010-Q3 ,2010.0," 7,300,000 ",
2930,/organization/airship-ventures,Airship Ventures,|Public Transportation|,Public Transportation,USA,CA,CA - Other,Moffett Field,/funding-round/1f862934a16a864aa1df2647f69ff48d,venture,B,2009-03-01,2009-03, 2009-Q1 ,2009.0," 2,500,000 ",
13440,/organization/celsense,Celsense,|Biotechnology|,Biotechnology,USA,PA,Pittsburgh,Pittsburgh,/funding-round/e66659d4dded6bc1b1e6c25ba314b8f1,venture,,2010-05-05,2010-05, 2010-Q2 ,2010.0," 684,000 ",
24348,/organization/eventup,Eventup,|Internet Marketing|Marketplaces|Events|Curated Web|,Internet Marketing,USA,IL,Chicago,Chicago,/funding-round/8bd0978e81ff33a82c0d368d6c759848,seed,,2012-06-04,2012-06, 2012-Q2 ,2012.0," 1,800,000 ",
82399,/organization/yogitech,YOGITECH,|Semiconductors|,Semiconductors,ITA,,ITA - Other,Vimercate,/funding-round/8df26d78ec38fa84dda74dc586fae6b2,venture,,2005-06-09,2005-06, 2005-Q2 ,2005.0," 1,223,900 ",
33950,/organization/imagine-communications,Imagine Communications,|Video Streaming|Video|Software|,Software,USA,CA,San Diego,San Diego,/funding-round/f3f276e519baa05c1e8ac5e1dfc283c3,venture,,2005-01-01,2005-01, 2005-Q1 ,2005.0," 500,000 ",
55968,/organization/popset,Popset,|Collaboration|Location Based Services|File Sharing|Social Media|Photography|Curated Web|,Collaboration,USA,CA,CA - Other,Mountain Pass,/funding-round/9036b866aea94b2cf9e6287ca72e5dd3,seed,,2012-03-01,2012-03, 2012-Q1 ,2012.0,,
69903,/organization/sumup,SumUp,|Credit Cards|Mobile Payments|Mobile|,Credit Cards,IRL,,Dublin,Dublin,/funding-round/2f266ab5c1c5706dd2853c003b424204,venture,A,2012-08-23,2012-08, 2012-Q3 ,2012.0," 20,000,000 ",
44701,/organization/metrotech-net,MetroTech Net,|Enterprise Software|Cars|SEO|Big Data|Automotive|,Big Data,USA,GA,Atlanta,Alpharetta,/funding-round/f863510769f87935b2a2c4e1e6a7978d,seed,,2013-06-01,2013-06, 2013-Q2 ,2013.0," 650,000 ",
41215,/organization/liveair-networks,LiveAir Networks,|Education|Web Hosting|Networking|,Web Hosting,USA,TX,TX - Other,Smithville,/funding-round/ee9236dd4f2504ac4a62ca7f7b75a669,debt_financing,,2013-11-09,2013-11, 2013-Q4 ,2013.0,,
83789,/organization/zwipe,Zwipe,|Mobile|,Mobile,NOR,,Oslo,Oslo,/funding-round/259f7f4d6b6335e2e1046e275a8a7430,venture,A,2013-12-10,2013-12, 2013-Q4 ,2013.0," 3,500,000 ",
79362,/organization/vtex,VTEX,|Information Technology|SaaS|E-Commerce|,SaaS,BRA,,Sao Paulo,São Paulo,/funding-round/9cffa09ca0d7f0e80a245f87e74069a9,venture,,2012-09-04,2012-09, 2012-Q3 ,2012.0,,
48515,/organization/neredekal-com,Neredekal.com,|Travel|,Travel,TUR,,Istanbul,Istanbul,/funding-round/7a61a0c98a7d83d6acdc0718f0d64e2c,venture,A,2010-06-01,2010-06, 2010-Q2 ,2010.0,,
21282,/organization/dreamlines,DreamLines,,,DEU,,Hamburg,Hamburg,/funding-round/89d6b0f0ac79428ae51d4cec14ebc024,undisclosed,,2012-12-01,2012-12, 2012-Q4 ,2012.0,,
66750,/organization/socialbakers,Socialbakers,|Social Media|Social Media Marketing|Analytics|,Analytics,CZE,,CZE - Other,,/funding-round/f3a8e361144333ff5909d29e3b962b27,venture,C,2014-02-18,2014-02, 2014-Q1 ,2014.0," 26,000,000 ",
10105,/organization/bluestreak-technology,Bluestreak Technology,|Mobile|,Mobile,CAN,QC,Montreal,Montréal,/funding-round/0ead4293ab69c3806f0a56e4ee81a153,venture,D,2007-10-11,2007-10, 2007-Q4 ,2007.0," 20,000,000 ",
69193,/organization/stiki-digital,Stiki Digital,|Curated Web|,Curated Web,USA,CA,SF Bay Area,Sunnyvale,/funding-round/78c41175a25d0e359c802b0c37958303,venture,A,2008-12-23,2008-12, 2008-Q4 ,2008.0," 200,000 ",
45163,/organization/mindbody,MINDBODY,|Software|,Software,USA,CA,San Luis Obispo,San Luis Obispo,/funding-round/b1ccdd045f6544f2798ea5ebdee5551c,undisclosed,,2005-10-01,2005-10, 2005-Q4 ,2005.0,,
10095,/organization/bluestacks,BlueStacks,|Apps|Home & Garden|Android|Mobile|,Home & Garden,USA,CA,SF Bay Area,Campbell,/funding-round/908692accf565bd3192c763b6ae87b92,undisclosed,,2013-03-05,2013-03, 2013-Q1 ,2013.0,,
80186,/organization/wein-der-woche,Wein der Woche,|Wine And Spirits|E-Commerce|,E-Commerce,DEU,,Berlin,Berlin,/funding-round/32742c2778fda68f4ad8eb2fdceafd0b,seed,,2011-07-01,2011-07, 2011-Q3 ,2011.0,,
70263,/organization/sustainable-life-media,Sustainable Life Media,|Media|,Media,USA,CA,SF Bay Area,San Francisco,/funding-round/7f78f31ffd4ba1eac0ac72d1a25c4e2b,undisclosed,,2008-02-08,2008-02, 2008-Q1 ,2008.0,,
40090,/organization/lecere,Lecere,|Software|,Software,USA,OR,"Portland, Oregon",Portland,/funding-round/6a32edb8ec8c358983cea62e00ce5427,venture,,2010-07-07,2010-07, 2010-Q3 ,2010.0," 300,000 ",
5456,/organization/arcarios,Arcarios,|Biotechnology|,Biotechnology,NLD,,Rotterdam,Rotterdam,/funding-round/a21657cbfade335d21c14db3651ac480,seed,,2010-08-25,2010-08, 2010-Q3 ,2010.0,,
53688,/organization/payward,Payward,|E-Commerce|,E-Commerce,USA,CA,SF Bay Area,San Francisco,/funding-round/24b74dc1aa2fc9e93f625b15f1fe1965,venture,A,2014-03-25,2014-03, 2014-Q1 ,2014.0," 5,000,000 ",
13762,/organization/chalkboard,Chalkboard,|Local Based Services|Local|App Marketing|Messaging|,Messaging,SGP,,Singapore,Singapore,/funding-round/1f21021536bea6ad7e31a0d9cc3b4627,angel,,2010-10-01,2010-10, 2010-Q4 ,2010.0,,
32892,/organization/hublished,Hublished,|Internet Marketing|Software|,Internet Marketing,USA,NY,New York City,New York,/funding-round/4b3fc3424ae8e86f72eed9f34ff7ab68,seed,,2013-06-12,2013-06, 2013-Q2 ,2013.0," 150,000 ",
43034,/organization/marginleft,MarginLeft,|Curated Web|,Curated Web,USA,MA,Boston,Boston,/funding-round/3149a613a11462ee959249fbb63bfb6f,grant,,2007-09-01,2007-09, 2007-Q3 ,2007.0," 8,300 ",
1945,/organization/admetricks,admetricks,|Advertising|,Advertising,CHL,,Santiago,Santiago,/funding-round/6cdf7aeb6b527ce022d1e1ddb3a665e8,seed,,2012-12-20,2012-12, 2012-Q4 ,2012.0," 40,000 ",
79695,/organization/watagame,watAgame,|Games|,Games,DNK,,Copenhagen,Copenhagen,/funding-round/277545999425fddf36c3d17b2f453145,venture,,2007-07-10,2007-07, 2007-Q3 ,2007.0," 4,000,000 ",
26683,/organization/flixster,Flixster,|Networking|Entertainment|Social Network Media|Video Streaming|Social Media|,Video Streaming,USA,CA,SF Bay Area,San Francisco,/funding-round/47f47c2d72441fa09087da904d7f86a7,angel,,2006-02-01,2006-02, 2006-Q1 ,2006.0," 175,000 ",
17924,/organization/crispy-driven-pixels,Crispy Driven Pixels,|Entertainment|Creative Industries|Art|Digital Media|,Art,,,,,/funding-round/7a3caeb47e39d0cf78d5f6771ceb068b,seed,,2014-01-31,2014-01, 2014-Q1 ,2014.0," 25,000 ",
49836,/organization/normoxys,NormOxys,|Biotechnology|,Biotechnology,USA,MA,Boston,Wellesley,/funding-round/174f7cac353c33b2d2a6be18782d7e5d,convertible_note,,2011-06-24,2011-06, 2011-Q2 ,2011.0," 1,500,000 ",
34281,/organization/in-pipe-technology,IN-PIPE TECHNOLOGY,,,USA,IL,Chicago,Wood Dale,/funding-round/a94d7b233e5582ff816ffc601e9a61f2,debt_financing,,2012-03-01,2012-03, 2012-Q1 ,2012.0," 60,000 ",
23817,/organization/episensor,EpiSensor,|Energy Management|Enterprise Software|,Energy Management,IRL,,Limerick,Limerick,/funding-round/b46dc73eb0e0feb5e4ccd1356c62080e,venture,B,2009-07-19,2009-07, 2009-Q3 ,2009.0," 706,000 ",
54328,/organization/ph03nix-new-media,Ph03nix New Media,|Games|,Games,CAN,AB,Calgary,Calgary,/funding-round/83a453b189439a0a3cc744cc17f7d10b,venture,,2009-02-13,2009-02, 2009-Q1 ,2009.0," 1,100,000 ",
38633,/organization/kingdom-scene-endeavors,Kingdom Scene Endeavors,|Games|,Games,USA,MO,St. Louis,St Louis,/funding-round/8e4869a3617c552042550098bdeb30b7,angel,,2014-02-06,2014-02, 2014-Q1 ,2014.0," 1,600,000 ",
45197,/organization/mindops,MindOps,|Image Recognition|Augmented Reality|Artificial Intelligence|,Artificial Intelligence,USA,CA,SF Bay Area,San Francisco,/funding-round/9a3e35baf624251d5d53a2b82df013a8,seed,,2014-04-01,2014-04, 2014-Q2 ,2014.0," 44,000 ",
58888,/organization/raksul,raksul,|Printing|E-Commerce|,Printing,JPN,,Tokyo,Tokyo,/funding-round/3f94f1781f3808617c2b28d75d50fa26,venture,A,2012-11-01,2012-11, 2012-Q4 ,2012.0," 1,200,000 ",
83849,/organization/zyraz-technology,Zyraz Technology,|Biotechnology|,Biotechnology,MYS,,MYS - Other,Damansara New Village,/funding-round/3c3ae0f177e01a04deea811e1828be35,private_equity,,2013-02-15,2013-02, 2013-Q1 ,2013.0," 20,967 ",
47836,/organization/nanohorizons,NanoHorizons,|Biotechnology|,Biotechnology,USA,PA,PA - Other,Bellefonte,/funding-round/41b53e252662ab633727c6466eb12d06,venture,,2011-01-05,2011-01, 2011-Q1 ,2011.0," 2,101,767 ",
74036,/organization/toppr,Toppr,|Education|,Education,IND,,Mumbai,Mumbai,/funding-round/168ff5227b52fbeed273dbf0f1aed9c2,seed,,2014-05-24,2014-05, 2014-Q2 ,2014.0," 2,000,000 ",
35930,/organization/intraop,IntraOp Medical,|Health Care|,Health Care,USA,CA,SF Bay Area,Sunnyvale,/funding-round/7912b86fbc2ad142d8722ce670383a47,venture,,2007-01-01,2007-01, 2007-Q1 ,2007.0," 1,200,000 ",
18673,/organization/cybersponse,CyberSponse,|Security|,Security,USA,AZ,Phoenix,Phoenix,/funding-round/a756b95f913ffa98c39ab272bcc7aa2a,debt_financing,,2014-07-29,2014-07, 2014-Q3 ,2014.0," 1,000,000 ",
16870,/organization/contact-solutions,Contact Solutions,|Software|,Software,USA,VA,"Washington, D.C.",Reston,/funding-round/98db805d3d890a8a7634d4bdee64fbcd,private_equity,,2010-09-08,2010-09, 2010-Q3 ,2010.0," 46,000,000 ",
33980,/organization/imanis-life-sciences,Imanis Life Sciences,|Biotechnology|,Biotechnology,USA,MN,"Rochester, Minnesota",Rochester,/funding-round/31f31d4d44e6a6025cbd9f731afda440,venture,,2014-03-24,2014-03, 2014-Q1 ,2014.0," 1,000,000 ",
51044,/organization/omnilife-science,OMNIlife science,|Hardware + Software|,Hardware + Software,USA,MA,MA - Other,East Taunton,/funding-round/95779f50cd89d30a4960920caf09cba4,debt_financing,,2014-04-09,2014-04, 2014-Q2 ,2014.0," 27,500,000 ",
31600,/organization/health-integrated,Health Integrated,|Biotechnology|,Biotechnology,USA,FL,Tampa,Tampa,/funding-round/f9856fc0568dd868fe4415cf40d15983,undisclosed,,2003-01-01,2003-01, 2003-Q1 ,2003.0,,
66220,/organization/ubooly,Smart Toy,|Finance|Toys|Education|Games|iOS|iPad|iPod Touch|iPhone|Mobile|,iPod Touch,USA,CO,Denver,Boulder,/funding-round/b587430de4c7e6cdf6a874a433d10bb9,seed,,2012-09-24,2012-09, 2012-Q3 ,2012.0," 2,500,000 ",
7158,/organization/axeda,Axeda,|Enterprise Software|M2M|Software|,Enterprise Software,USA,MA,New Bedford,Foxboro,/funding-round/45a71ad686a737def06e94da5f74c138,venture,B,2009-10-26,2009-10, 2009-Q4 ,2009.0," 5,000,000 ",
5485,/organization/archipelago,Archipelago,|E-Commerce|Financial Services|,E-Commerce,,,,,/funding-round/1892cec85ca52f4cdbbb684bfbccc1b8,undisclosed,,1999-08-31,1999-08, 1999-Q3 ,1999.0,,
43106,/organization/market-factory,MarketFactory,|Software|Technology|Finance|,Technology,USA,NY,New York City,New York,/funding-round/a30ff307af146ad26a583e9ef5b1c097,venture,,2009-10-08,2009-10, 2009-Q4 ,2009.0," 300,000 ",
19906,/organization/designerpages,Designer Pages Online,|Design|,Design,USA,NY,New York City,New York,/funding-round/79c8ffa74c64dc7ce649d637d8065b41,seed,,2006-12-15,2006-12, 2006-Q4 ,2006.0," 350,000 ",
80673,/organization/wifast,WiFast,|Internet|Real Time|Local Businesses|,Real Time,,,,,/funding-round/cfaa8296dbf3cad841849ff69ee855e9,seed,,2013-07-20,2013-07, 2013-Q3 ,2013.0,,
39922,/organization/lazada-indonesia,Lazada Indonesia,|E-Commerce|,E-Commerce,IDN,,Jakarta,Jakarta,/funding-round/e4c5598c99e4e400b81f6bffee6a4416,venture,A,2012-11-11,2012-11, 2012-Q4 ,2012.0," 40,000,000 ",
67267,/organization/solopower,SoloPower,|Clean Technology|,Clean Technology,USA,CA,SF Bay Area,San Jose,/funding-round/7581798ba2f81bc17ef04ea7e186fb97,venture,,2007-03-05,2007-03, 2007-Q1 ,2007.0," 10,000,000 ",
70672,/organization/synchronicity-co,Synchronicity.co,|Distribution|Advertising|,Distribution,USA,CA,CA - Other,Playa Vista,/funding-round/63ab1e02eee58002ebe7619549715fc8,convertible_note,,2013-07-14,2013-07, 2013-Q3 ,2013.0," 560,000 ",
71593,/organization/taxime,TaxiMe,|Software|,Software,,,,,/funding-round/da7b22b6d061e1b82efde5429164530b,convertible_note,,2014-02-01,2014-02, 2014-Q1 ,2014.0," 33,776 ",
58311,/organization/quantumdx-group,QuantuMDx Group,|Biotechnology|,Biotechnology,GBR,,Newcastle,Newcastle Upon Tyne,/funding-round/73cfc818af03fcc9e33fd2a4c0a9ac73,grant,,2012-09-26,2012-09, 2012-Q3 ,2012.0," 5,700,000 ",
120,/organization/1energy-systems,1Energy Systems,|Software|,Software,USA,WA,Seattle,Seattle,/funding-round/0502de190cb6fd03ba9435767080bcdb,venture,,2013-04-22,2013-04, 2013-Q2 ,2013.0," 1,450,000 ",
51348,/organization/onespin-solutions,OneSpin Solutions,|Analytics|,Analytics,DEU,,Munich,Munich,/funding-round/91f52f3573dabd12bac205dac04b68ee,undisclosed,,2012-05-31,2012-05, 2012-Q2 ,2012.0,,
21565,/organization/duxter,Duxter,|Games|Social Network Media|Social Media|,Social Media,USA,WA,Seattle,Kirkland,/funding-round/05e9429ea9e5f0fcf2530d953018a1bd,seed,,2012-03-05,2012-03, 2012-Q1 ,2012.0," 530,000 ",
52672,/organization/oxtox,Oxtox,|Health Care|,Health Care,GBR,,Nottingham,Nottingham,/funding-round/c3cd54b67047090a75f9a0e98998d7f6,venture,A,2006-11-16,2006-11, 2006-Q4 ,2006.0," 1,132,930 ",
18942,/organization/campuslive,Dailybreak Media,|Advertising|,Advertising,USA,MA,Boston,Boston,/funding-round/3969ffc5b2c6c4db9fc43d6cccc27933,venture,,2011-04-15,2011-04, 2011-Q2 ,2011.0," 3,100,000 ",
61852,/organization/rxrevu,RxRevu,|Health and Wellness|,Health and Wellness,USA,CO,Denver,Denver,/funding-round/d513c3a42cb572c8149f630e5ea13498,seed,,2014-03-01,2014-03, 2014-Q1 ,2014.0,,
71659,/organization/teal-orbit,Teal Orbit,|Advertising|,Advertising,USA,NY,New York City,New York,/funding-round/01803a742a3ee72101873d17d2f2869d,seed,,2011-08-10,2011-08, 2011-Q3 ,2011.0,,
44267,/organization/memoir,Memoir,|Photography|,Photography,USA,NY,New York City,New York,/funding-round/1cb3d4068f06f4a8da2ddd04da8e8b8c,seed,,2011-01-01,2011-01, 2011-Q1 ,2011.0," 18,000 ",
5727,/organization/arno-therapeutics,Arno Therapeutics,|Biotechnology|,Biotechnology,USA,NJ,Newark,Parsippany,/funding-round/552d4f78b1c0727f4b88da4e3ca89499,venture,,2010-09-14,2010-09, 2010-Q3 ,2010.0," 15,000,000 ",
59288,/organization/realconnex-com,RealConnex.com,|Real Estate|,Real Estate,,,,,/funding-round/c98d5b495dada7a818daa55c70698b7c,seed,,2013-04-01,2013-04, 2013-Q2 ,2013.0," 350,000 ",
68188,/organization/spinpunch,SpinPunch,|Web Development|Games|,Games,USA,CA,SF Bay Area,Mountain View,/funding-round/e82d910fa8f3d982211ad2abf45d4e0c,seed,,2012-08-01,2012-08, 2012-Q3 ,2012.0,,
13894,/organization/chartcube,Chartcube,|Data Visualization|Collaboration|Freemium|Mobile|Curated Web|,Collaboration,USA,CA,SF Bay Area,Burlingame,/funding-round/27cae2e93d111934db8b0b8bea822b4c,venture,A,2014-01-30,2014-01, 2014-Q1 ,2014.0,,
32216,/organization/highroads,HighRoads,|Software|,Software,CAN,ON,Ottawa,Ottawa,/funding-round/ee92d387ed68276ab196a9405213079b,venture,,2014-06-19,2014-06, 2014-Q2 ,2014.0," 3,713,400 ",
41112,/organization/listar,Listar,|Shopping|Comparison Shopping|Networking|E-Commerce|Curated Web|,Shopping,USA,FL,Miami,Miami,/funding-round/8d34f187051810976612730493417f5e,seed,,2012-01-01,2012-01, 2012-Q1 ,2012.0," 250,000 ",
40365,/organization/lett-rs,lettrs,|Social Network Media|Mobile|Social Media|,Social Network Media,USA,NY,New York City,Brooklyn,/funding-round/b08e746dd2dc443395d779b0d4e050cd,venture,,2014-10-21,2014-10, 2014-Q4 ,2014.0," 1,500,000 ",
43881,/organization/medicanimal-com,MedicAnimal.com,|Pets|,Pets,GBR,,London,London,/funding-round/5d1d3292dd23fc3634582fce442252d2,venture,A,2010-10-01,2010-10, 2010-Q4 ,2010.0," 7,910,327 ",
77544,/organization/valuevine,Venuelabs,|Technology|Internet|SaaS|Social Media|Software|,Internet,USA,WA,Seattle,Bellevue,/funding-round/8b1b4f15cf4008e2dacb8089963a5ff6,seed,,2009-12-30,2009-12, 2009-Q4 ,2009.0," 100,000 ",
48550,/organization/net-element,Net Element,|Mobile Payments|Payments|Technology|Mobile Commerce|E-Commerce|,Mobile Payments,USA,FL,Miami,Miami,/funding-round/4f8abe441fa7cc5787c42a6fa1faa70c,debt_financing,,2012-09-05,2012-09, 2012-Q3 ,2012.0," 9,500,000 ",
4258,/organization/andean-designs,Andean Designs,|Design|,Design,CHL,,CHL - Other,Puerto Varas,/funding-round/24879ceaafcc780ee9d3bae3888d78c9,seed,,2012-04-10,2012-04, 2012-Q2 ,2012.0," 40,000 ",
5562,/organization/arena-pharmaceuticals,Arena Pharmaceuticals,|Biotechnology|,Biotechnology,USA,CA,San Diego,San Diego,/funding-round/d07544e8bdc14fbc69f114e1ddd6d452,private_equity,,2009-06-17,2009-06, 2009-Q2 ,2009.0," 151,760,000 ",
74134,/organization/touch-of-life-technologies,Touch of Life Technologies,,,USA,CO,Denver,Aurora,/funding-round/b148494918cd0f6213429d34192838f9,equity_crowdfunding,,2012-01-11,2012-01, 2012-Q1 ,2012.0,,
251,/organization/2threads,2threads,|Art|Beauty|Lifestyle|Music|Social Network Media|Fashion|Social Media|,Art,AUS,,Sydney,Sydney,/funding-round/6da1098e8c5703abb6d909b0458e20da,seed,,2007-08-01,2007-08, 2007-Q3 ,2007.0," 100,000 ",
49050,/organization/newpace-technology-development,NewPace Technology Development,|Apps|iOS|Mobile|Android|Software|,Android,CAN,QC,Halifax,Bedford,/funding-round/a0236aefee764553d33f87aef54351dd,debt_financing,,2011-11-29,2011-11, 2011-Q4 ,2011.0," 729,168 ",
56935,/organization/productgram,ProductGram,|Creative|Mobile Commerce|E-Commerce|,Creative,USA,CA,SF Bay Area,San Francisco,/funding-round/dfdbe7a431b17c7e8982ef29d1fb2fc2,seed,,2013-05-01,2013-05, 2013-Q2 ,2013.0," 100,000 ",
69746,/organization/styleshare,StyleShare,|Fashion|,Fashion,KOR,,Seoul,Seoul,/funding-round/8e00f36df8291189a631355fbcc625b7,venture,B,2014-05-01,2014-05, 2014-Q2 ,2014.0," 2,500,000 ",
14790,/organization/claret-medical,Claret Medical,|Hardware + Software|,Hardware + Software,USA,CA,Napa Valley,Santa Rosa,/funding-round/afb17650a2461ec9e98a94a95bce1508,venture,,2010-06-03,2010-06, 2010-Q2 ,2010.0," 1,300,000 ",
22395,/organization/edufii,Edufii,|Private Social Networking|Sports|Education|SaaS|,Private Social Networking,USA,CA,San Luis Obispo,San Luis Obispo,/funding-round/40bf4be627e2a555e8f9265040cff06b,venture,A,2014-09-09,2014-09, 2014-Q3 ,2014.0," 1,400,000 ",
61497,/organization/root3-technologies,Root3 Technologies,|Services|Information Technology|Predictive Analytics|Software|,Services,USA,IL,Chicago,Chicago,/funding-round/536bec77f51b0c8ad8c146044d15319b,convertible_note,,2013-03-16,2013-03, 2013-Q1 ,2013.0," 1,000,000 ",
1094,/organization/accendo-therapeutics,Accendo Therapeutics,|Health and Wellness|,Health and Wellness,USA,CA,San Diego,Carlsbad,/funding-round/9a16b56cf523999edb06c06b5296cadd,private_equity,,2011-12-29,2011-12, 2011-Q4 ,2011.0," 4,000,000 ",
24500,/organization/evestra,Evestra,|Biotechnology|,Biotechnology,USA,TX,San Antonio,San Antonio,/funding-round/8fbab9e5b3ae5cd6102211fd45f606bf,convertible_note,,2009-12-14,2009-12, 2009-Q4 ,2009.0," 1,800,000 ",
37145,/organization/jdp-therapeutics,JDP Therapeutics,|Biotechnology|,Biotechnology,USA,PA,Philadelphia,Philadelphia,/funding-round/f638dc435e728689eeb7c7f47a161d8a,venture,,2010-10-12,2010-10, 2010-Q4 ,2010.0," 300,000 ",
22874,/organization/embed-ly,Embedly,|Curated Web|,Curated Web,USA,MA,Boston,Boston,/funding-round/198f4b25c84dd8941059ebc3477956a1,seed,,2010-01-01,2010-01, 2010-Q1 ,2010.0,,
32743,/organization/hotelrunner,HotelRunner,|Software|Online Reservations|Travel & Tourism|Travel|,Online Reservations,TUR,,Istanbul,Istanbul,/funding-round/5b5005df11790b2b14697e49211baae4,seed,,2012-04-27,2012-04, 2012-Q2 ,2012.0,,
65989,/organization/skyview-records,Skyview Records,|Film Production|,Film Production,USA,LA,Baton Rouge,Baton Rouge,/funding-round/3d62c4d1687977b4ad4aa0c21ec69dea,equity_crowdfunding,,2012-10-31,2012-10, 2012-Q4 ,2012.0,,
