,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month, funded_quarter ,funded_year, raised_amount_usd ,Unnamed: 16
7647,/organization/band-metrics,Band Metrics,|Technology|Reputation|Big Data Analytics|Machine Learning|Natural Language Processing|Opinions|Music|,Machine Learning,USA,GA,Atlanta,Atlanta,/funding-round/c4df55f4ee49c0a70dc8a4d0ad79deb3,angel,,2008-11-24,2008-11, 2008-Q4 ,2008.0,,
76535,/organization/unsilo,Unsilo,|Natural Language Processing|Search|,Search,DNK,,Aarhus,Aarhus,/funding-round/0b157b55a8b9e457713feaf800f689f8,seed,,2012-06-01,2012-06, 2012-Q2 ,2012.0,,
15148,/organization/clickable,Clickable,|Search|Semantic Search|Advertising|,Search,USA,NY,New York City,New York,/funding-round/e71e8353ad0d990efaf4ddc36b21bcd9,angel,,2006-01-01,2006-01, 2006-Q1 ,2006.0,,
52519,/organization/oversee,Oversee,|Lead Generation|Advertising|,Lead Generation,USA,CA,Los Angeles,Los Angeles,/funding-round/5ed71066d7a53c4dbc88b0dda4262cfa,debt_financing,,2007-01-01,2007-01, 2007-Q1 ,2007.0," 60,000,000 ",
8406,/organization/berst,Berst,|Mobile|,Mobile,,,,,/funding-round/bb22032f11ff20683a0aefce3a9843e8,seed,,2012-03-19,2012-03, 2012-Q1 ,2012.0," 50,000 ",
14338,/organization/chunyu,Chunyu,|Mobile|,Mobile,CHN,,Beijing,Beijing,/funding-round/4e59d4e3aaf5c57756654f9d9a0486ce,venture,B,2013-03-01,2013-03, 2013-Q1 ,2013.0," 1,000,000 ",
15694,/organization/cnano-technology,Cnano Technology,|Nanotechnology|,Nanotechnology,USA,CA,SF Bay Area,Santa Clara,/funding-round/97665daee91c639268d7b82ecf105b26,venture,,2007-07-31,2007-07, 2007-Q3 ,2007.0," 6,000,000 ",
6613,/organization/aursos,AURSOS,|Biotechnology|,Biotechnology,USA,MI,Kalamazoo,Kalamazoo,/funding-round/b3796cc8b05d2cbb05ec44d9d4c4aa36,venture,,2008-04-29,2008-04, 2008-Q2 ,2008.0," 560,000 ",
82544,/organization/youmail,YouMail,|Messaging|,Messaging,USA,CA,Anaheim,Irvine,/funding-round/17a8146504eed88cf3dc917ad6a13823,venture,A,2007-11-06,2007-11, 2007-Q4 ,2007.0," 4,500,000 ",
78358,/organization/violet-grey,Violet Grey,|Fashion|,Fashion,USA,CA,Los Angeles,Los Angeles,/funding-round/211ce526357ff84963b4434d0d78c9ef,venture,A,2014-02-25,2014-02, 2014-Q1 ,2014.0," 7,300,000 ",
29456,/organization/global-velocity,Global Velocity,|Security|,Security,USA,MO,MO - Other,Clarkton,/funding-round/4a89d854a3d25d87d1e707e45f1e1290,venture,,2009-11-10,2009-11, 2009-Q4 ,2009.0," 5,781,692 ",
72427,/organization/get-myo,Thalmic Labs,|Health and Wellness|,Health and Wellness,CAN,ON,Toronto,Kitchener,/funding-round/083d5d063a34b2afe26be93f95c2ebf9,seed,,2013-01-01,2013-01, 2013-Q1 ,2013.0,,
18732,/organization/cympel,Cympel,|Advertising|,Advertising,USA,NE,Omaha,Omaha,/funding-round/0d929e3533c2be4a74065cf1b7bc97d0,seed,,2013-07-01,2013-07, 2013-Q3 ,2013.0," 175,000 ",
30918,/organization/guestcentric,GuestCentric Systems,|Travel|,Travel,USA,CT,Hartford,Stamford,/funding-round/e44340cc68e65595b9b6a55622f21c81,seed,,2007-06-05,2007-06, 2007-Q2 ,2007.0," 1,250,000 ",
82758,/organization/zafin,Zafin,|Finance Technology|Banking|Software|,Finance Technology,CAN,BC,Vancouver,Vancouver,/funding-round/30e4c123a4fce2d6a1bb2c47f7abcabf,debt_financing,,2013-12-12,2013-12, 2013-Q4 ,2013.0," 5,000,000 ",
74802,/organization/trellis-bioscience,Trellis Bioscience,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,San Francisco,/funding-round/a9fe42947520b91c67503b7234bfda5e,debt_financing,,2011-11-09,2011-11, 2011-Q4 ,2011.0," 235,000 ",
5512,/organization/arclight-media-technology,Arclight Media Technology,|Search|,Search,GBR,,London,London,/funding-round/a1b6f63f922bd4efead4d11099f67aaa,seed,,2007-01-01,2007-01, 2007-Q1 ,2007.0,,
2162,/organization/advanced-icu-care,Advanced ICU Care,|Health Care|,Health Care,USA,MO,St. Louis,St Louis,/funding-round/e9d9da9acecb7b254ad45b74b266b82d,venture,C,2010-01-06,2010-01, 2010-Q1 ,2010.0," 2,000,000 ",
7309,/organization/azendoo,Azendoo,|Social Network Media|Productivity Software|Social Media|Task Management|SaaS|Project Management|Enterprise Software|,Social Network Media,FRA,,Bordeaux,Bordeaux,/funding-round/4f81c8f79ec6719640dc9f366351efee,seed,,2014-02-26,2014-02, 2014-Q1 ,2014.0," 1,000,000 ",
39592,/organization/labomar,LABOMAR,|Biotechnology|,Biotechnology,BRA,,Itá,Itá,/funding-round/3b0251cf681069b810755a6129d80484,venture,,2012-06-14,2012-06, 2012-Q2 ,2012.0," 6,903,050 ",
81032,/organization/withings,Withings,|Hardware + Software|,Hardware + Software,FRA,,Paris,Issy-les-moulineaux,/funding-round/4b48b94e5f4329a6ada56ceb60e01b81,venture,,2010-09-02,2010-09, 2010-Q3 ,2010.0," 3,845,400 ",
4387,/organization/anita-margarita,Anita Margarita,|Craft Beer|,Craft Beer,USA,IL,Chicago,Homewood,/funding-round/33147c9bd4e9626c3f1bd30f7aa3a2df,equity_crowdfunding,,2014-02-10,2014-02, 2014-Q1 ,2014.0," 20,454 ",
59284,/organization/real-trends,real trends,|Marketplaces|E-Commerce|,E-Commerce,ARG,,Buenos Aires,Buenos Aires,/funding-round/2687897f343ffcf1ce8e82a1160866c8,seed,,2014-03-01,2014-03, 2014-Q1 ,2014.0," 35,000 ",
32829,/organization/howcast,Howcast,|Photography|,Photography,USA,NY,New York City,New York,/funding-round/31c2da5044721b5d2ee6e79b7caf8b90,venture,B,2009-10-05,2009-10, 2009-Q4 ,2009.0," 1,000,000 ",
81047,/organization/wix,Wix,|Web Design|Software|Design|Web Tools|Internet|Curated Web|,Web Design,ISR,,Tel Aviv,Tel Aviv,/funding-round/b1109ab0b8774073a731df0057873133,venture,C,2010-03-24,2010-03, 2010-Q1 ,2010.0," 10,000,000 ",
27593,/organization/front-desk-hq,Front Desk HQ,|SaaS|Payments|Network Security|Mobile|,Payments,USA,WA,Seattle,Seattle,/funding-round/907af81169cf82c2af44cfc61cb39134,venture,A,2014-02-13,2014-02, 2014-Q1 ,2014.0," 4,000,000 ",
40445,/organization/leyou-software,Leyou software,|Mobile|,Mobile,,,,,/funding-round/10195c5a07fe7bb6d21e93c3be250052,venture,,2000-12-01,2000-12, 2000-Q4 ,2000.0,,
29984,/organization/gopro,GoPro,|3D|Hardware|Video|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,San Mateo,/funding-round/a690b1401bb25adef294e72d1cb7d709,venture,A,2011-05-05,2011-05, 2011-Q2 ,2011.0," 88,000,000 ",
