,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_list,investor_market,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd
45045,/organization/neuralitic-systems,Neuralitic Systems,|Mobile|,Mobile,CAN,QC,Montreal,Montréal,/organization/go-capital-fund,GO Capital Fund,,,CAN,QC,Montreal,Montréal,/funding-round/aaf13d6cbe52f82d98b07bbf87456eb9,venture,B,2011-01-31,2011-01,2011-Q1,2011," 8,000,000 "
54928,/organization/iddiction,Iddiction,|Apps|Ediscovery|Distribution|Mobile|iOS|Games|,Ediscovery,USA,CA,SF Bay Area,Menlo Park,/person/francisco-larrain,Francisco Larrain,,,,,,,/funding-round/c9d1e6ce5cc386c84f756ac1da52ed82,seed,,2011-11-01,2011-11,2011-Q4,2011," 3,500,000 "
112824,/organization/bureau-14,Bureau 14,,,FRA,,Paris,Paris,/organization/newfund-management,Newfund,,,FRA,,Paris,Paris,/funding-round/f84fc5158fc65ad6ebfec29b0f00d2ac,seed,,2014-10-23,2014-10,2014-Q4,2014," 1,000,000 "
69390,/organization/caprally,CapRally,|Software|,Software,USA,CA,SF Bay Area,San Francisco,/organization/draper-associates-2,Draper Associates,,,USA,CA,SF Bay Area,Menlo Park,/funding-round/635a26437cedc42b4139f7481638d14b,seed,,2012-10-01,2012-10,2012-Q4,2012,
33146,/organization/mimosa-systems,Mimosa Systems,|Software|,Software,USA,CA,SF Bay Area,Santa Clara,/organization/clearstone-venture-partners,Clearstone Venture Partners,|Entrepreneur|,Entrepreneur,USA,CA,Los Angeles,Santa Monica,/funding-round/03c612be1c32acb31e7c489e2674b748,debt_financing,,2009-11-24,2009-11,2009-Q4,2009," 4,000,000 "
32668,/organization/square,Square,|Hardware + Software|Finance|Analytics|P2P Money Transfer|Mobile Payments|Mobile|,P2P Money Transfer,USA,CA,SF Bay Area,San Francisco,/person/xavier-niel,Xavier Niel,,,,,,,/funding-round/c59de6486d4c17f356e93ced97d2c0d1,venture,A,2009-11-01,2009-11,2009-Q4,2009," 10,000,000 "
236,/organization/cybersource,Cybersource,|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,/organization/upfront-ventures,Upfront Ventures,|Finance|,Finance,USA,CA,Los Angeles,Los Angeles,/funding-round/bf4b768fd94f7c3325781ff9ea7792cc,undisclosed,,1998-10-20,1998-10,1998-Q4,1998,
86548,/organization/maykor,MAYKOR,|Software|,Software,RUS,,Moscow,Moscow,/organization/european-bank-for-reconstruction-and-development-ebrd,European Bank for Reconstruction and Development (EBRD),,,GBR,,London,London,/funding-round/50668d47905df806d3d9015651a507cf,private_equity,,2013-08-27,2013-08,2013-Q3,2013," 100,000,000 "
103097,/organization/novapost,Novapost,|Enterprise Software|,Enterprise Software,FRA,,Paris,Paris,/organization/alven-capital,Alven Capital,,,FRA,,Paris,Paris,/funding-round/be666c84033fce09a41949ec652e4152,venture,E,2014-05-15,2014-05,2014-Q2,2014," 17,500,000 "
7611,/organization/apprion,Apprion,|Mobile|,Mobile,USA,CA,SF Bay Area,Mountain View,/organization/advanced-technology-ventures,Advanced Technology Ventures,|Venture Capital|,Venture Capital,USA,CA,SF Bay Area,Palo Alto,/funding-round/32acfed7e1c25ed70c075dbd45df7f22,venture,A,2006-01-24,2006-01,2006-Q1,2006," 7,500,000 "
21907,/organization/putplace,PutPlace,|Web Development|Curated Web|,Web Development,IRL,,Dublin,Dublin,/organization/enterprise-ireland,Enterprise Ireland,|Finance|Enterprises|,Enterprises,IRL,,Dublin,Dublin,/funding-round/e337a5b84ebb48b7d02acb9e76b7c7ed,angel,,2008-04-01,2008-04,2008-Q2,2008," 1,566,000 "
68465,/organization/govecs,GOVECS,|Clean Technology|,Clean Technology,DEU,,Munich,Munich,/organization/gimv,Gimv,,,BEL,,Antwerp,Antwerpen,/funding-round/f87eb295636db9402a4b33c3e98114c9,venture,,2012-09-06,2012-09,2012-Q3,2012," 12,638,000 "
4651,/organization/clear-shape-technologies,Clear Shape Technologies,|Software|,Software,USA,CA,SF Bay Area,Santa Clara,/organization/us-venture-partners,U.S. Venture Partners,,,USA,CA,SF Bay Area,Menlo Park,/funding-round/e5d4eb502ac5c1918cb292a9ec302419,venture,B,2005-06-09,2005-06,2005-Q2,2005," 5,000,000 "
104088,/organization/stepsss,Stepsss,|Information Technology|Sports|Health and Wellness|,Sports,BGR,,Sofia,Sofia,/organization/eleven,Eleven,|Finance|Startups|,Startups,BGR,,Sofia,Sofia,/funding-round/669c8ad3c2b0db8644c148965315365b,convertible_note,,2014-06-01,2014-06,2014-Q2,2014," 34,078 "
17678,/organization/course-hero,Course Hero,|Marketplaces|Crowdsourcing|Education|,Crowdsourcing,USA,CA,SF Bay Area,Redwood City,/person/fred-grauer,Fred Grauer,,,,,,,/funding-round/0e0a27b2bbf3ed58d3519d09862abcec,seed,,2007-09-01,2007-09,2007-Q3,2007," 183,000 "
101096,/organization/etect,eTect,|Health Care|Intelligent Systems|Medical|Real Time|,Health Care,USA,FL,Gainesville,Newberry,/organization/the-florida-technology-seed-capital-fund,The Florida Technology Seed Capital Fund,,,,,,,/funding-round/9483bd154d717186588a672a62b34cf0,undisclosed,,2014-04-10,2014-04,2014-Q2,2014,
110887,/organization/clubw-com,Club W,|Subscription Businesses|Wine And Spirits|Consumer Goods|E-Commerce|Hospitality|,Subscription Businesses,USA,CA,Los Angeles,Los Angeles,/organization/bessemer-venture-partners,Bessemer Venture Partners,,,USA,CA,SF Bay Area,Menlo Park,/funding-round/27d723e2b03cf67294f9925b91d4e84b,venture,A,2014-09-22,2014-09,2014-Q3,2014," 9,500,000 "
85302,/organization/jdguanjia,Jdguanjia,|Manufacturing|,Manufacturing,CHN,,Beijing,Beijing,/organization/preangel,PreAngel,,,CHN,,Beijing,Beijing,/funding-round/d0ca2d29742a2996703aa589478a52dc,angel,,2013-08-01,2013-08,2013-Q3,2013," 162,866 "
51525,/organization/vessix-vascular,Vessix Vascular,|Health Care|,Health Care,USA,CA,Los Angeles,Laguna Hills,/organization/edmond-de-rothschild-venture-capital,Edmond de Rothschild Venture Capital,,,FRA,,Paris,Paris,/funding-round/29a4ee3b31df64f4560ced5e838947de,venture,B,2011-08-03,2011-08,2011-Q3,2011," 23,000,000 "
54075,/organization/udemy,Udemy,|Education|,Education,USA,CA,SF Bay Area,San Francisco,/organization/500-startups,500 Startups,|Startups|Finance|,Finance,USA,CA,SF Bay Area,Mountain View,/funding-round/b15256e54c86d253f70f93e1e37b0de6,venture,A,2011-10-12,2011-10,2011-Q4,2011," 3,000,000 "
18025,/organization/everyday-health,Everyday Health,|Business Services|Health and Wellness|,Business Services,USA,NY,New York City,New York,/organization/foundation-capital,Foundation Capital,,,USA,CA,SF Bay Area,Menlo Park,/funding-round/7fbbd7b6160ff36fe2b3cd0882cc6ce4,venture,D,2007-09-26,2007-09,2007-Q3,2007," 25,026,948 "
3458,/organization/gotv-networks,GoTV Networks,|Mobile|,Mobile,USA,CA,Los Angeles,Sherman Oaks,/organization/charles-river-ventures,CRV,,,USA,MA,Boston,Cambridge,/funding-round/499ed5767c7121fa1b3cfef40d89c6c6,venture,A,2005-03-01,2005-03,2005-Q1,2005," 15,000,000 "
56238,/organization/bill-com,Bill.com,|SaaS|Finance|,SaaS,USA,CA,SF Bay Area,Palo Alto,/organization/dcm,DCM,|Finance|,Finance,USA,CA,SF Bay Area,Menlo Park,/funding-round/4cf82b16680abf31886a3e257eea81ce,venture,D,2011-12-08,2011-12,2011-Q4,2011," 15,500,000 "
55120,/organization/urban-airship,Urban Airship,|Internet|iPhone|Mobile|,Internet,,,,,/organization/foundry-group,Foundry Group,|Startups|Finance|Consumer Electronics|Internet|Software|,Software,USA,CO,Denver,Boulder,/funding-round/88906f4a56fb18ddb67dbef888c8847e,venture,C,2011-11-07,2011-11,2011-Q4,2011," 15,100,000 "
64110,/organization/popdust,Popdust,|Chat|Celebrity|Entertainment|Media|Music|News|,News,USA,NY,New York City,New York,/organization/softbank-capital,SoftBank Capital,,,USA,NY,New York City,New York,/funding-round/b4f6a1ae5b667221ddcbc5b66fcc121a,venture,A,2012-06-04,2012-06,2012-Q2,2012," 4,500,000 "
18635,/organization/syntaxin,Syntaxin,|Biotechnology|,Biotechnology,GBR,,London,Abingdon,/organization/abingworth-management,Abingworth,,,GBR,,London,London,/funding-round/8677ea52b5ad8fdc91106c15c7a0db96,venture,B,2007-10-31,2007-10,2007-Q4,2007," 32,000,000 "
107536,/organization/synapsify,Synapsify,|Content Discovery|Social Media|Publishing|Semantic Search|Predictive Analytics|Machine Learning|Artificial Intelligence|,Content Discovery,USA,MD,"Washington, D.C.",Bethesda,/organization/maryland-venture-fund,Maryland Venture Fund,|Investment Management|,,USA,MD,Baltimore,Baltimore,/funding-round/38a4db9b1fa70f0b3b4f1be6c368ff64,venture,,2014-07-23,2014-07,2014-Q3,2014," 850,000 "
32148,/organization/engineyard,Engine Yard,|PaaS|Infrastructure|Apps|Web Hosting|Web Development|Software|,Web Development,USA,CA,SF Bay Area,San Francisco,/organization/dag-ventures,DAG Ventures,|Venture Capital|Finance|,Finance,USA,CA,SF Bay Area,Palo Alto,/funding-round/28c62ac1986cdfba86b82d07c57b16de,venture,C,2009-10-07,2009-10,2009-Q4,2009," 19,000,000 "
85786,/organization/entangled-media,Entangled Media,|Synchronization|Web Hosting|,Synchronization,USA,CO,Denver,Boulder,/organization/crosslink-capital,Crosslink Capital,,,USA,CA,SF Bay Area,San Francisco,/funding-round/29f2640996dfa432a30b7273aaefa0f7,seed,,2013-08-12,2013-08,2013-Q3,2013," 3,540,000 "
74372,/organization/binary-event-network,Binary Event Network,|Consumer Electronics|Trading|All Markets|Social Media|Sports|Finance|,Sports,USA,NY,New York City,New York,/organization/cinnober-financial-technology,Cinnober Financial Technology,,,SWE,,Stockholm,Stockholm,/funding-round/b915d1f567fcf468dce3089db223d7c6,undisclosed,,2013-01-09,2013-01,2013-Q1,2013,
27225,/organization/bmeye,BMEYE,|Health Care|,Health Care,NLD,,Amsterdam,Amsterdam,/organization/techfund,TechFund,,,FRA,,Paris,Paris,/funding-round/e2fb0a514c43ce75c668fe90f11ed163,venture,A,2009-01-01,2009-01,2009-Q1,2009,
19007,/organization/labnow,LabNow,|Biotechnology|,Biotechnology,USA,TX,Austin,Austin,/organization/sammons-enterprises,Sammons Enterprises,,,USA,TX,Dallas,Dallas,/funding-round/145dae32e4f4897e6d80bf4734285ac3,venture,B,2007-11-13,2007-11,2007-Q4,2007," 20,000,000 "
111939,/organization/coinplug,Coinplug,|Finance|,Finance,KOR,,Seoul,Seoul,/organization/dsc-investment,DSC Investment,,,KOR,,Seoul,Seoul,/funding-round/5f9c944b5d5ed1c5fb74394edfce2814,venture,A,2014-10-08,2014-10,2014-Q4,2014," 2,500,000 "
101957,/organization/mic-network,Mic Network,|Opinions|Analytics|Journalism|Media|News|,Opinions,USA,NY,New York City,New York,/organization/knight-foundation,Knight Foundation,|Journalism|Communities|Digital Media|Services|,Journalism,USA,FL,Miami,Miami,/funding-round/64e3bb84f5839d906aca275fd94cc227,venture,A,2014-04-28,2014-04,2014-Q2,2014," 10,000,000 "
88294,/organization/gema-touch,Gema Touch,|Mobile|,Mobile,USA,NC,Raleigh,Raleigh,/organization/hca,HCA,|Hospitals|Health and Wellness|,Hospitals,USA,TN,Nashville,Nashville,/funding-round/e0f33d41b714ae9bdb4606f3394e3f05,seed,,2013-09-19,2013-09,2013-Q3,2013," 50,000 "
87345,/organization/motwin,Motwin,|Internet|iPad|iPhone|Mobile|Software|,Internet,FRA,,FRA - Other,Saint-ismier,/organization/seventure-partners,Seventure Partners,,,FRA,,Paris,Paris,/funding-round/28d14bd60f51a499686c22dac3e4e59e,venture,B,2013-09-03,2013-09,2013-Q3,2013," 2,700,000 "
38595,/organization/baxano,Baxano,|Health Care|,Health Care,USA,CA,SF Bay Area,San Jose,/organization/kaiser-permanente-ventures,Kaiser Permanente Ventures,,,USA,CA,SF Bay Area,Oakland,/funding-round/a6e080f1af0bfbc11bf9f0960b43dbb4,venture,C,2010-06-23,2010-06,2010-Q2,2010," 30,000,000 "
