,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year, price_amount ,price_currency_code
14180,,,,,,,,,,,,,,,,,,,,,,
23434,,,,,,,,,,,,,,,,,,,,,,
35307,,,,,,,,,,,,,,,,,,,,,,
8423,/organization/overblog,Overblog,|Blogging Platforms|Curated Web|,Blogging Platforms,FRA,,Toulouse,Toulouse,/organization/webedia,Webedia,|News|Internet|Curated Web|,News,FRA,,Paris,Paris,2014-04-16,2014-04,2014-Q2,2014.0," 5,000,000 ",EUR
19345,,,,,,,,,,,,,,,,,,,,,,
31554,,,,,,,,,,,,,,,,,,,,,,
23930,,,,,,,,,,,,,,,,,,,,,,
44528,,,,,,,,,,,,,,,,,,,,,,
8969,/organization/postgirot-bank,Postgirot Bank,,,,,,,/organization/nordea-bank,Nordea Bank,|Banking|,Banking,SWE,,Stockholm,Stockholm,2001-07-31,2001-07,2001-Q3,2001.0,,USD
18721,,,,,,,,,,,,,,,,,,,,,,
46389,,,,,,,,,,,,,,,,,,,,,,
33650,,,,,,,,,,,,,,,,,,,,,,
30930,,,,,,,,,,,,,,,,,,,,,,
33440,,,,,,,,,,,,,,,,,,,,,,
32073,,,,,,,,,,,,,,,,,,,,,,
38773,,,,,,,,,,,,,,,,,,,,,,
52213,,,,,,,,,,,,,,,,,,,,,,
19482,,,,,,,,,,,,,,,,,,,,,,
16073,,,,,,,,,,,,,,,,,,,,,,
47985,,,,,,,,,,,,,,,,,,,,,,
22448,,,,,,,,,,,,,,,,,,,,,,
9975,/organization/screamingmedia,Screaming Media,,,,,,,/organization/yellowbrix,Yellowbrix,|Consulting|,Consulting,USA,VA,Alexandria,Alexandria,2011-01-01,2011-01,2011-Q1,2011.0,,USD
29987,,,,,,,,,,,,,,,,,,,,,,
5664,/organization/insiteone,InSiteOne,|Software|,Software,USA,CT,Hartford,Wallingford,/organization/dell,Dell,|Hardware + Software|,Hardware + Software,USA,TX,Austin,Round Rock,2010-12-01,2010-12,2010-Q4,2010.0,,USD
42970,,,,,,,,,,,,,,,,,,,,,,
17262,,,,,,,,,,,,,,,,,,,,,,
25468,,,,,,,,,,,,,,,,,,,,,,
49350,,,,,,,,,,,,,,,,,,,,,,
21940,,,,,,,,,,,,,,,,,,,,,,
